# Attribute keys of go.opentelemetry.io/otel/semconv/v1.43.0, from module go.opentelemetry.io/otel v1.46.0.
# Columns: attribute<TAB>go constant.
k8s.statefulset.uid	K8SStatefulSetUIDKey
k8s.storageclass.name	K8SStorageclassNameKey
k8s.volume.name	K8SVolumeNameKey
k8s.volume.type	K8SVolumeTypeKey
log.file.name	LogFileNameKey
log.file.name_resolved	LogFileNameResolvedKey
log.file.path	LogFilePathKey
log.file.path_resolved	LogFilePathResolvedKey
log.iostream	LogIostreamKey
log.record.original	LogRecordOriginalKey
log.record.uid	LogRecordUIDKey
mainframe.lpar.name	MainframeLparNameKey
messaging.batch.message_count	MessagingBatchMessageCountKey
messaging.client.id	MessagingClientIDKey
messaging.consumer.group.name	MessagingConsumerGroupNameKey
messaging.destination.anonymous	MessagingDestinationAnonymousKey
messaging.destination.name	MessagingDestinationNameKey
messaging.destination.partition.id	MessagingDestinationPartitionIDKey
messaging.destination.subscription.name	MessagingDestinationSubscriptionNameKey
messaging.destination.template	MessagingDestinationTemplateKey
messaging.destination.temporary	MessagingDestinationTemporaryKey
messaging.eventhubs.message.enqueued_time	MessagingEventHubsMessageEnqueuedTimeKey
messaging.gcp_pubsub.message.ack_deadline	MessagingGCPPubSubMessageAckDeadlineKey
messaging.gcp_pubsub.message.ack_id	MessagingGCPPubSubMessageAckIDKey
messaging.gcp_pubsub.message.delivery_attempt	MessagingGCPPubSubMessageDeliveryAttemptKey
messaging.gcp_pubsub.message.ordering_key	MessagingGCPPubSubMessageOrderingKeyKey
messaging.kafka.message.key	MessagingKafkaMessageKeyKey
messaging.kafka.message.tombstone	MessagingKafkaMessageTombstoneKey
messaging.kafka.offset	MessagingKafkaOffsetKey
messaging.message.body.size	MessagingMessageBodySizeKey
messaging.message.conversation_id	MessagingMessageConversationIDKey
messaging.message.envelope.size	MessagingMessageEnvelopeSizeKey
messaging.message.id	MessagingMessageIDKey
messaging.operation.name	MessagingOperationNameKey
messaging.operation.type	MessagingOperationTypeKey
messaging.rabbitmq.destination.routing_key	MessagingRabbitMQDestinationRoutingKeyKey
messaging.rabbitmq.message.delivery_tag	MessagingRabbitMQMessageDeliveryTagKey
messaging.rocketmq.consumption_model	MessagingRocketMQConsumptionModelKey
messaging.rocketmq.message.delay_time_level	MessagingRocketMQMessageDelayTimeLevelKey
messaging.rocketmq.message.delivery_timestamp	MessagingRocketMQMessageDeliveryTimestampKey
messaging.rocketmq.message.group	MessagingRocketMQMessageGroupKey
messaging.rocketmq.message.keys	MessagingRocketMQMessageKeysKey
messaging.rocketmq.message.tag	MessagingRocketMQMessageTagKey
messaging.rocketmq.message.type	MessagingRocketMQMessageTypeKey
messaging.rocketmq.namespace	MessagingRocketMQNamespaceKey
messaging.servicebus.disposition_status	MessagingServiceBusDispositionStatusKey
messaging.servicebus.message.delivery_count	MessagingServiceBusMessageDeliveryCountKey
messaging.servicebus.message.enqueued_time	MessagingServiceBusMessageEnqueuedTimeKey
messaging.system	MessagingSystemKey
network.carrier.icc	NetworkCarrierICCKey
network.carrier.mcc	NetworkCarrierMCCKey
network.carrier.mnc	NetworkCarrierMNCKey
network.carrier.name	NetworkCarrierNameKey
network.connection.state	NetworkConnectionStateKey
network.connection.subtype	NetworkConnectionSubtypeKey
network.connection.type	NetworkConnectionTypeKey
network.interface.name	NetworkInterfaceNameKey
network.io.direction	NetworkIODirectionKey
network.local.address	NetworkLocalAddressKey
network.local.port	NetworkLocalPortKey
network.peer.address	NetworkPeerAddressKey
network.peer.port	NetworkPeerPortKey
network.protocol.name	NetworkProtocolNameKey
network.protocol.version	NetworkProtocolVersionKey
network.transport	NetworkTransportKey
network.type	NetworkTypeKey
nfs.operation.name	NfsOperationNameKey
nfs.server.repcache.status	NfsServerRepcacheStatusKey
oci.manifest.digest	OCIManifestDigestKey
onc_rpc.procedure.name	OncRPCProcedureNameKey
onc_rpc.procedure.number	OncRPCProcedureNumberKey
onc_rpc.program.name	OncRPCProgramNameKey
onc_rpc.version	OncRPCVersionKey
openshift.clusterquota.name	OpenShiftClusterquotaNameKey
openshift.clusterquota.uid	OpenShiftClusterquotaUIDKey
opentracing.ref_type	OpenTracingRefTypeKey
oracle_cloud.realm	OracleCloudRealmKey
oracle.db.domain	OracleDBDomainKey
oracle.db.instance.name	OracleDBInstanceNameKey
oracle.db.name	OracleDBNameKey
oracle.db.pdb	OracleDBPdbKey
oracle.db.service	OracleDBServiceKey
os.build_id	OSBuildIDKey
os.description	OSDescriptionKey
os.name	OSNameKey
os.type	OSTypeKey
os.version	OSVersionKey
otel.component.name	OTelComponentNameKey
otel.component.type	OTelComponentTypeKey
otel.event.name	OTelEventNameKey
otel.scope.name	OTelScopeNameKey
otel.scope.schema_url	OTelScopeSchemaURLKey
otel.scope.version	OTelScopeVersionKey
otel.span.parent.origin	OTelSpanParentOriginKey
otel.span.sampling_result	OTelSpanSamplingResultKey
otel.status_code	OTelStatusCodeKey
otel.status_description	OTelStatusDescriptionKey
pprof.location.is_folded	PprofLocationIsFoldedKey
pprof.mapping.has_filenames	PprofMappingHasFilenamesKey
pprof.mapping.has_functions	PprofMappingHasFunctionsKey
pprof.mapping.has_inline_frames	PprofMappingHasInlineFramesKey
pprof.mapping.has_line_numbers	PprofMappingHasLineNumbersKey
pprof.profile.comment	PprofProfileCommentKey
pprof.profile.doc_url	PprofProfileDocURLKey
pprof.profile.drop_frames	PprofProfileDropFramesKey
pprof.profile.keep_frames	PprofProfileKeepFramesKey
pprof.scope.default_sample_type	PprofScopeDefaultSampleTypeKey
pprof.scope.sample_type_order	PprofScopeSampleTypeOrderKey
process.args_count	ProcessArgsCountKey
process.command	ProcessCommandKey
process.command_args	ProcessCommandArgsKey
process.command_line	ProcessCommandLineKey
process.context_switch.type	ProcessContextSwitchTypeKey
process.creation.time	ProcessCreationTimeKey
process.executable.build_id.gnu	ProcessExecutableBuildIDGNUKey
process.executable.build_id.go	ProcessExecutableBuildIDGoKey
process.executable.build_id.htlhash	ProcessExecutableBuildIDHtlhashKey
process.executable.name	ProcessExecutableNameKey
process.executable.path	ProcessExecutablePathKey
process.exit.code	ProcessExitCodeKey
process.exit.time	ProcessExitTimeKey
